food_name,dairy,gluten,fodmap,keto,meat,fruit,vegetable,grains,fish_seafood,legume,sugar_syrup,acohols,fried_high_fat,raw
ginger lemon tea,0,0,0,1,0,1,0,0,0,0,0,0,0,0
iced latte,1,0,1,0,0,0,0,0,0,0,1,0,0,0
muffin,1,1,1,0,0,0,0,1,0,0,1,0,0,0
pho,0,0,1,0,1,0,1,1,0,0,0,0,0,0
coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
honey bunches of oats with almonds,0,1,1,0,0,0,0,1,0,0,1,0,0,0
pasta,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ice cream,1,0,1,0,0,0,0,0,0,0,1,0,1,0
mint tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
noodle dish,0,1,1,0,0,0,0,1,0,0,0,0,1,0
clif bar,0,0,1,0,0,1,0,1,0,0,1,0,0,0
chicken rice soup,0,0,0,0,1,0,0,1,0,0,0,0,0,0
smoothie,depends,0,depends,1,0,1,0,0,0,0,0,0,0,1
avocado sandwich,0,1,1,0,0,1,1,1,0,0,0,0,0,1
whiskey ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
white wine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
red wine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chipotle burrito,1,1,1,0,1,0,1,1,0,1,0,0,0,1
cheese,1,0,1,1,0,0,0,0,0,0,0,0,1,0
crackers,0,1,1,0,0,0,0,1,0,0,0,0,0,0
my quinoa dish,0,0,,0,0,0,1,1,0,0,0,0,0,0
hot sauce,0,0,depends,1,0,0,0,0,0,0,0,0,0,0
beer,0,1,1,0,0,0,0,0,0,0,0,1,0,0
tequila,0,0,0,0,0,0,0,0,0,0,0,1,0,0
soda,0,0,1,0,0,0,0,0,0,0,1,0,0,0
iced mocha,1,0,1,0,0,0,0,0,0,0,1,0,0,0
pancakes,1,1,1,0,0,0,0,1,0,0,0,0,0,0
eggs benedict,1,1,0,0,0,0,0,1,0,0,0,0,0,0
pizza,1,1,1,0,0,0,1,1,0,0,0,0,1,0
bread,0,1,1,0,0,0,0,1,0,0,0,0,0,0
egg,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hummus,0,0,1,0,0,0,0,0,0,1,0,0,0,1
beef kebab,0,0,0,1,1,0,0,0,0,0,0,0,0,0
schnitzel,0,1,1,1,1,0,0,0,0,0,0,0,1,0
stuffed grape leaves,0,0,0,0,0,0,1,1,0,0,0,0,0,0
avocado,0,0,1,1,0,1,1,0,0,0,0,0,0,1
sandwich,1,1,1,0,1,0,1,1,0,0,0,0,0,1
